date_key,full_date,year,quarter,month,month_name
20210601,2021-06-01,2021,2,6,June
20211214,2021-12-14,2021,4,12,December
20200812,2020-08-12,2020,3,8,August
20200617,2020-06-17,2020,2,6,June
20201027,2020-10-27,2020,4,10,October
20201117,2020-11-17,2020,4,11,November
20210102,2021-01-02,2021,1,1,January
20210804,2021-08-04,2021,3,8,August
20201024,2020-10-24,2020,4,10,October
20210222,2021-02-22,2021,1,2,February
20211228,2021-12-28,2021,4,12,December
20200207,2020-02-07,2020,1,2,February
20200525,2020-05-25,2020,2,5,May
20200524,2020-05-24,2020,2,5,May
20211226,2021-12-26,2021,4,12,December
20200905,2020-09-05,2020,3,9,September
20200330,2020-03-30,2020,1,3,March
20200102,2020-01-02,2020,1,1,January
20211009,2021-10-09,2021,4,10,October
20210118,2021-01-18,2021,1,1,January
20200322,2020-03-22,2020,1,3,March
20200827,2020-08-27,2020,3,8,August
20210823,2021-08-23,2021,3,8,August
20201118,2020-11-18,2020,4,11,November
20211108,2021-11-08,2021,4,11,November
20201221,2020-12-21,2020,4,12,December
20200113,2020-01-13,2020,1,1,January
20210302,2021-03-02,2021,1,3,March
20210621,2021-06-21,2021,2,6,June
20200422,2020-04-22,2020,2,4,April
20210622,2021-06-22,2021,2,6,June
20210326,2021-03-26,2021,1,3,March
